route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
45,29058558,"Varces-Allières-et-Risset, Rond-Point de l'Europe",1234567-MFES33_ST5_33_ET2024,0,SEM_45_4,0,0
5,28567055,"Gières, Universités - Biologie",1234567-MSESAH28_ST5_28_ET2024,1,,0,0
5,28566944,"Gières, Universités - Biologie",1234567-MSESAH28_ST5_28_ET2024,1,,0,0
13,28804592,"Poisat, Cimetière Intercommunal",1234567-MEHD29_ST6_29_ET2024,0,,0,0
4,29148175,"Eybens, Le Verderet",1234567-MEHS29_ST5_29_ET2024,0,SEM_C4_1,0,0
22,28467636,"Saint-Égrève, Saint Egrève Gare",12345-MSELVE30_ST0_30_ET2024,0,SEM_22_3,0,0
83,29046817,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGED27_ST6_27_ET2024,0,,0,0
54,29006812,"Sassenage, Les Engenières",12345-MFELV29_ST0_29_ET2024,1,SEM_54_2,0,0
84,29041254,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,0,,0,0
20,28467531,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",12345-MSELVE30_ST0_30_ET2024,0,SEM_20_3,0,0
6,28179407,"Grenoble, Oxford",12345-MSELVE30_ST0_30_ET2024,0,SEM_C6_2,0,0
16,28438966,"Corenc, Montfleury",1234567-MSHDF28_ST6_28_ET2024,0,SEM_16_1,0,0
5,28607196,"Gières, Universités - Biologie",1234567-MSHDF28_ST6_28_ET2024,1,,0,0
15,28980643,"Domène, Les Arnauds",12345-MAHLV29_ST0_29_ET2024,0,SEM_15_3,0,0
54,29006816,"Saint-Égrève, Pont de Vence",12345-MFELV29_ST0_29_ET2024,1,SEM_54_2,0,0
A,28522976,"Le Pont-de-Claix, L'Etoile",12345-MEELVE34_ST0_34_ET2024,0,SEM_A_3,0,0
13,28804600,"Meylan, Lycée du Grésivaudan",1234567-MEHD29_ST6_29_ET2024,1,SEM_13_2,0,0
4,29148328,"Eybens, Le Verderet",1234567-MEHS29_ST5_29_ET2024,0,SEM_C4_1,0,0
B,29042376,"Grenoble, Oxford",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,SEM_B_2,0,0
A,28521920,"Le Pont-de-Claix, L'Etoile",1234567-MEHS29_ST5_29_ET2024,0,SEM_A_3,0,0
16,28441475,"Corenc, Montfleury",1234567-MSESAH28_ST5_28_ET2024,0,SEM_16_1,0,0
82,28641953,"La Tronche, Grand Sablon",12345-MGELV30_ST0_30_ET2024,1,,0,0
A,28521783,"Le Pont-de-Claix, L'Etoile",1234567-MEHS29_ST5_29_ET2024,0,SEM_A_3,0,0
81,28634268,"Grenoble, Grand'Place",12345-MEELVE32_ST0_32_ET2024,0,,0,0
13,28804598,"Meylan, Lycée du Grésivaudan",1234567-MEHD29_ST6_29_ET2024,1,SEM_13_2,0,0
5,28470023,"Gières, Universités - Biologie",12345-MSELVE30_ST0_30_ET2024,1,,0,0
B,28558141,"La Tronche, Grand Sablon",12345-MGELV30_ST0_30_ET2024,0,SEM_B_1,0,0
3,29148130,"Grenoble, Victor Hugo",1234567-MEHS29_ST5_29_ET2024,0,SEM_C3_1,0,0
59,28953267,"Gières, Gières Gare - Universités",12345-MFELV29_ST0_29_ET2024,1,SEM_59_2,0,0
7,28443851,"Échirolles, Comboire",1234567-MSESAH28_ST5_28_ET2024,1,SEM_C7_2,0,0
82,28637647,"Gières, Gières Gare - Universités",12345-MGELV34_ST0_34_ET2024,0,,0,0
A,28523052,"Le Pont-de-Claix, L'Etoile",12345-MEELVE34_ST0_34_ET2024,0,SEM_A_3,0,0
13,28804903,"Poisat, Cimetière Intercommunal",1234567-MEHS29_ST5_29_ET2024,0,,0,0
4,29147051,"Grenoble, Victor Hugo",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,1,SEM_C4_2,0,0
4,29147576,"Eybens, Le Verderet",1234567-MEHD29_ST6_29_ET2024,0,SEM_C4_1,0,0
B,29047420,"La Tronche, Grand Sablon",1234567-MGED27_ST6_27_ET2024,0,SEM_B_1,0,0
84,28665113,"Saint-Martin-d'Hères, Etienne Grappe",123456*-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,1,,0,0
5,28607112,"Grenoble, Palais de Justice - Gare",1234567-MSHDF28_ST6_28_ET2024,0,,0,0
6,28788292,"Saint-Martin-d'Hères, Henri Wallon",1234567-MSHDF28_ST6_28_ET2024,1,SEM_C6_1,0,0
22,28439910,"Saint-Égrève, Saint Egrève Gare",1234567-MSHDF28_ST6_28_ET2024,0,SEM_22_1,0,0
49,29006768,"Seyssins, Le Prisme",1234567-MFED28_ST6_28_ET2024,1,SEM_49_4,0,0
82,28637731,"Gières, Gières Gare - Universités",12345-MGELV34_ST0_34_ET2024,0,,0,0
25,28824606,"Le Gua, Les Saillants",1234567-MAHD28_ST6_28_ET2024,0,SEM_25_1,0,0
A,28522695,"Fontaine, La Poya",12345-MEELVE32_ST0_32_ET2024,1,SEM_A_4,0,0
4,29148211,"Grenoble, Victor Hugo",1234567-MEHS29_ST5_29_ET2024,1,SEM_C4_2,0,0
41,29007264,"La Tronche, Grand Sablon",123456*-MFELV29_ST0_29_ET2024,1,SEM_41_2,0,0
13,28805250,"Meylan, Lycée du Grésivaudan",123456*-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,1,SEM_13_2,0,0
61,29007356,"Saint-Égrève, Muret",123456*-MFELV29_ST0_29_ET2024,0,SEM_61_1,0,0
19,28467415,"Sassenage, L'Ovalie",12345-MSELVE30_ST0_30_ET2024,1,SEM_19_2,0,0
54,29006850,"Saint-Égrève, Pont de Vence",1234567-MFES28_ST5_28_ET2024,1,SEM_54_2,0,0
49,29006764,"Seyssins, Le Prisme",1234567-MFED28_ST6_28_ET2024,1,SEM_49_2,0,0
83,29046820,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGED27_ST6_27_ET2024,0,,0,0
25,28824309,"Grenoble, Louise Michel",12345-MAHLV29_ST0_29_ET2024,1,SEM_25_2,0,0
19,28441286,"Sassenage, L'Ovalie",1234567-MSESAH28_ST5_28_ET2024,1,SEM_19_2,0,0
19,28441253,"Seyssins, Garlettes",1234567-MSESAH28_ST5_28_ET2024,0,SEM_19_1,0,0
2,29132812,"Grenoble, Louise Michel",1234567-MEHS29_ST5_29_ET2024,1,SEM_C2_1,0,0
83,29046761,"Seyssins, Le Prisme",1234567-MGED27_ST6_27_ET2024,1,,0,0
15,28980552,"Grenoble, Verdun - Préfecture",1234567-MAHS28_ST5_28_ET2024-MAHS31_ST5_33_ET2024,1,SEM_15_4,0,0
3,29147119,"Échirolles, Centre du graphisme",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,1,SEM_C3_2,0,0
16,28463784,"Le Pont-de-Claix, Gendarmerie",12345-MSELVE30_ST0_30_ET2024,1,SEM_16_2,0,0
82,29041963,"La Tronche, Grand Sablon",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,,0,0
B,28565018,"La Tronche, Grand Sablon",12345-MGELV34_ST0_34_ET2024,0,SEM_B_1,0,0
A,28521577,"Le Pont-de-Claix, L'Etoile",1234567-MEHD29_ST6_29_ET2024,0,SEM_A_3,0,0
50,29006784,"Fontaine, La Poya",1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,0,SEM_50_2,0,0
22,28441696,"Grenoble, Oxford",1234567-MSESAH28_ST5_28_ET2024,1,SEM_22_2,0,0
B,28558091,"La Tronche, Grand Sablon",12345-MGELV30_ST0_30_ET2024,0,SEM_B_1,0,0
A,28522999,"Le Pont-de-Claix, L'Etoile",12345-MEELVE34_ST0_34_ET2024,0,SEM_A_3,0,0
5,28469933,"Gières, Universités - Biologie",12345-MSELVE30_ST0_30_ET2024,1,,0,0
82,29042067,"Gières, Gières Gare - Universités",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,0,,0,0
83,29041437,"Seyssins, Le Prisme",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,,0,0
B,29047383,"Grenoble, Oxford",1234567-MGED27_ST6_27_ET2024,1,SEM_B_2,0,0
22,28467606,"Grenoble, Oxford",12345-MSELVE30_ST0_30_ET2024,1,SEM_22_2,0,0
A,28522525,"Fontaine, La Poya",12345-MEELVE32_ST0_32_ET2024,1,SEM_A_4,0,0
20,28467487,"Veurey-Voroize, La Rive",12345-MSELVE30_ST0_30_ET2024,1,SEM_20_4,0,0
25,29054712,"Le Gua, Les Saillants",1234567-MAHS31_ST5_33_ET2024,0,SEM_25_1,0,0
62,29007049,"Grenoble, Notre-Dame - Musée",1234567-MFES28_ST5_28_ET2024,0,SEM_62_6,0,0
A,28522982,"Le Pont-de-Claix, L'Etoile",12345-MEELVE34_ST0_34_ET2024,0,SEM_A_3,0,0
B,29042336,"Grenoble, Oxford",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,SEM_B_2,0,0
3,29148387,"Échirolles, Centre du graphisme",1234567-MEHS29_ST5_29_ET2024,1,SEM_C3_2,0,0
5,28607137,"Grenoble, Palais de Justice - Gare",1234567-MSHDF28_ST6_28_ET2024,0,,0,0
25,28824504,"Grenoble, Louise Michel",1234567-MAHS28_ST5_28_ET2024,1,SEM_25_2,0,0
83,29111642,"Saint-Martin-d'Hères, Condillac - Universités",12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,0,,0,0
3,29147084,"Échirolles, Centre du graphisme",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,1,SEM_C3_2,0,0
19,28467385,"Seyssins, Garlettes",12345-MSELVE30_ST0_30_ET2024,0,SEM_19_1,0,0
5,28607145,"Grenoble, Palais de Justice - Gare",1234567-MSHDF28_ST6_28_ET2024,0,,0,0
6,28567338,"Saint-Martin-d'Hères, Henri Wallon",1234567-MSESAH28_ST5_28_ET2024,1,SEM_C6_1,0,0
2,29132395,"Claix, Pont Rouge",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,0,SEM_C2_2,0,0
84,28665102,"Saint-Martin-d'Hères, Etienne Grappe",123456*-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,1,,0,0
15,28980702,"Grenoble, Verdun - Préfecture",12345-MAHLV29_ST0_29_ET2024,1,SEM_15_10,0,0
13,28804577,"Meylan, Lycée du Grésivaudan",1234567-MEHD29_ST6_29_ET2024,1,SEM_13_2,0,0
B,28558149,"La Tronche, Grand Sablon",12345-MGELV30_ST0_30_ET2024,0,SEM_B_1,0,0
A,28521846,"Fontaine, La Poya",1234567-MEHS29_ST5_29_ET2024,1,SEM_A_4,0,0
83,29046741,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGED27_ST6_27_ET2024,0,,0,0
4,29148212,"Grenoble, Victor Hugo",1234567-MEHS29_ST5_29_ET2024,1,SEM_C4_2,0,0
70,29007076,"Champ-sur-Drac, La Melle",12345-MFELV29_ST0_29_ET2024,1,,0,0
2,29133115,"Grenoble, Louise Michel",1234567-MEHD29_ST6_29_ET2024,1,SEM_C2_1,0,0
A,28522574,"Le Pont-de-Claix, L'Etoile",12345-MEELVE32_ST0_32_ET2024,0,SEM_A_3,0,0
2,29133114,"Claix, Pont Rouge",1234567-MEHD29_ST6_29_ET2024,0,SEM_C2_2,0,0
50,29006775,"Fontaine, La Poya",1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,0,SEM_50_2,0,0
12,28486992,"Saint-Martin-d'Hères, Les Alloves",1234567-MEHS29_ST5_29_ET2024,1,,0,0
49,29006761,"Seyssins, Clinique - Portail",1234567-MFED28_ST6_28_ET2024,0,SEM_49_1,0,0
82,28642142,"La Tronche, Grand Sablon",12345-MGELV30_ST0_30_ET2024,1,,0,0
82,29042063,"Gières, Gières Gare - Universités",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,0,,0,0
6,28567253,"Grenoble, Oxford",1234567-MSESAH28_ST5_28_ET2024,0,SEM_C6_2,0,0
83,29111563,"Seyssins, Le Prisme",12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,1,,0,0
83,29111514,"Seyssins, Le Prisme",12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,1,,0,0
E,29042811,"Grenoble, Louise Michel",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,0,SEM_E_2,0,0
16,28463881,"Le Pont-de-Claix, Gendarmerie",12345-MSELVE30_ST0_30_ET2024,1,SEM_16_2,0,0
5,28607102,"Grenoble, Palais de Justice - Gare",1234567-MSHDF28_ST6_28_ET2024,0,,0,0
1,28849382,"Meylan, Maupertuis",1234567-MSESAH28_ST5_28_ET2024,0,SEM_C1_2,0,0
84,28665089,"Saint-Martin-d'Hères, Condillac - Universités",123456*-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,0,,0,0
12,28490973,"Saint-Martin-d'Hères, Les Alloves",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,1,,0,0
1,28849291,"Grenoble, Cité Jean Macé",1234567-MSESAH28_ST5_28_ET2024,1,SEM_C1_4,0,0
82,29047129,"La Tronche, Grand Sablon",1234567-MGED27_ST6_27_ET2024,1,,0,0
15,28980460,"Domène, Chenevières",1234567-MAHS28_ST5_28_ET2024-MAHS31_ST5_33_ET2024,0,SEM_15_1,0,0
82,28641956,"La Tronche, Grand Sablon",12345-MGELV30_ST0_30_ET2024,1,,0,0
A,28521795,"Le Pont-de-Claix, L'Etoile",1234567-MEHS29_ST5_29_ET2024,0,SEM_A_3,0,0
21,29006393,"Seyssins, Le Prisme",1234567-MFES28_ST5_28_ET2024-MFES33_ST5_33_ET2024,1,SEM_21_2,0,0
82,28637725,"Gières, Gières Gare - Universités",12345-MGELV34_ST0_34_ET2024,0,,0,0
5,28567014,"Grenoble, Palais de Justice - Gare",1234567-MSESAH28_ST5_28_ET2024,0,,0,0
A,28521961,"Le Pont-de-Claix, L'Etoile",1234567-MEHS29_ST5_29_ET2024,0,SEM_A_3,0,0
12,28492233,"Eybens, Maisons Neuves",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,0,,0,0
4,29147525,"Grenoble, Victor Hugo",1234567-MEHD29_ST6_29_ET2024,1,SEM_C4_2,0,0
82,28642116,"Gières, Gières Gare - Universités",12345-MGELV30_ST0_30_ET2024,0,,0,0
22,28441649,"Saint-Égrève, Saint Egrève Gare",1234567-MSESAH28_ST5_28_ET2024,0,SEM_22_1,0,0
3,29148372,"Grenoble, Victor Hugo",1234567-MEHS29_ST5_29_ET2024,0,SEM_C3_1,0,0
2,29132443,"Grenoble, Louise Michel",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,1,SEM_C2_1,0,0
E,29050192,"Fontanil-Cornillon, Palluel",12345-MGELV30_ST0_30_ET2024,1,SEM_E_1,0,0
1,28849409,"Meylan, Maupertuis",1234567-MSESAH28_ST5_28_ET2024,0,SEM_C1_2,0,0
13,28804886,"Meylan, Lycée du Grésivaudan",1234567-MEHS29_ST5_29_ET2024,1,SEM_13_2,0,0
21,29007633,"Seyssins, Le Prisme",123456*-MFELV29_ST0_29_ET2024,1,SEM_21_2,0,0
13,28804604,"Meylan, Lycée du Grésivaudan",1234567-MEHD29_ST6_29_ET2024,1,SEM_13_2,0,0
B,28558210,"Grenoble, Oxford",12345-MGELV30_ST0_30_ET2024,1,SEM_B_2,0,0
2,29132411,"Claix, Pont Rouge",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,0,SEM_C2_2,0,0
83,29041605,"Saint-Martin-d'Hères, Condillac - Universités",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,0,,0,0
82,29042019,"Gières, Gières Gare - Universités",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,0,,0,0
67,29058733,"Herbeys, Le Chollet",1234567-MFES33_ST5_33_ET2024,1,SEM_67_1,0,0
70,29058749,"Champ-sur-Drac, La Melle",1234567-MFES33_ST5_33_ET2024,1,,0,0
14,28492687,"Grenoble, Verdun - Préfecture",1234567-MAHD28_ST6_28_ET2024,0,SEM_14_1,0,0
15,28980688,"Grenoble, Verdun - Préfecture",12345-MAHLV29_ST0_29_ET2024,1,SEM_15_10,0,0
4,29147542,"Eybens, Le Verderet",1234567-MEHD29_ST6_29_ET2024,0,SEM_C4_1,0,0
82,29042008,"La Tronche, Grand Sablon",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,,0,0
62,29058674,"Sarcenas, La Prairie",1234567-MFES33_ST5_33_ET2024,1,SEM_62_5,0,0
25,28824331,"Grenoble, Louise Michel",12345-MAHLV29_ST0_29_ET2024,1,SEM_25_2,0,0
5,28566986,"Grenoble, Palais de Justice - Gare",1234567-MSESAH28_ST5_28_ET2024,0,,0,0
83,29111588,"Seyssins, Le Prisme",12345-MGELV30_ST0_30_ET2024-MGELV34_ST0_34_ET2024,1,,0,0
15,28980507,"Grenoble, Verdun - Préfecture",1234567-MAHS28_ST5_28_ET2024-MAHS31_ST5_33_ET2024,1,SEM_15_2,0,0
E,29047670,"Fontanil-Cornillon, Palluel",1234567-MGED27_ST6_27_ET2024,1,SEM_E_1,0,0
6,28179395,"Grenoble, Oxford",12345-MSELVE30_ST0_30_ET2024,0,SEM_C6_2,0,0
E,29050325,"Grenoble, Louise Michel",12345-MGELV30_ST0_30_ET2024,0,SEM_E_2,0,0
4,29147028,"Grenoble, Victor Hugo",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,1,SEM_C4_2,0,0
A,28521773,"Le Pont-de-Claix, L'Etoile",1234567-MEHS29_ST5_29_ET2024,0,SEM_A_3,0,0
3,29146913,"Grenoble, Victor Hugo",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,0,SEM_C3_1,0,0
20,28467504,"Veurey-Voroize, La Rive",12345-MSELVE30_ST0_30_ET2024,1,SEM_20_4,0,0
B,28564876,"Grenoble, Oxford",12345-MGELV34_ST0_34_ET2024,1,SEM_B_2,0,0
B,28558212,"La Tronche, Grand Sablon",12345-MGELV30_ST0_30_ET2024,0,SEM_B_1,0,0
5,28469925,"Gières, Universités - Biologie",12345-MSELVE30_ST0_30_ET2024,1,,0,0
12,28487000,"Saint-Martin-d'Hères, Les Alloves",1234567-MEHS29_ST5_29_ET2024,1,,0,0
15,28980705,"Grenoble, Verdun - Préfecture",12345-MAHLV29_ST0_29_ET2024,1,SEM_15_10,0,0
B,29047469,"La Tronche, Grand Sablon",1234567-MGED27_ST6_27_ET2024,0,SEM_B_1,0,0
62,29058678,"Sarcenas, La Prairie",1234567-MFES33_ST5_33_ET2024,1,SEM_62_5,0,0
B,28565009,"La Tronche, Grand Sablon",12345-MGELV34_ST0_34_ET2024,0,SEM_B_1,0,0
42,29006677,"Meylan, La Détourbe",1234567-MFED28_ST6_28_ET2024,1,SEM_42_1,0,0
1,28849420,"Meylan, Maupertuis",1234567-MSESAH28_ST5_28_ET2024,0,SEM_C1_2,0,0
B,29042370,"Grenoble, Oxford",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,SEM_B_2,0,0
A,28522965,"Fontaine, La Poya",12345-MEELVE34_ST0_34_ET2024,1,SEM_A_4,0,0
19,28467400,"Sassenage, L'Ovalie",12345-MSELVE30_ST0_30_ET2024,1,SEM_19_2,0,0
4,29146942,"Eybens, Le Verderet",12345-MEELVE32_ST0_32_ET2024-MEELVE34_ST0_34_ET2024,0,SEM_C4_1,0,0
82,28642150,"La Tronche, Grand Sablon",12345-MGELV30_ST0_30_ET2024,1,,0,0
E,29042818,"Fontanil-Cornillon, Palluel",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,SEM_E_1,0,0
B,28557989,"Grenoble, Oxford",12345-MGELV30_ST0_30_ET2024,1,,0,0
25,28824315,"Grenoble, Louise Michel",12345-MAHLV29_ST0_29_ET2024,1,SEM_25_2,0,0
E,29042701,"Fontanil-Cornillon, Palluel",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,SEM_E_1,0,0
7,28439507,"Échirolles, Comboire",1234567-MSHDF28_ST6_28_ET2024,1,SEM_C7_2,0,0
82,28642092,"Gières, Gières Gare - Universités",12345-MGELV30_ST0_30_ET2024,0,,0,0
82,29047178,"La Tronche, Grand Sablon",1234567-MGED27_ST6_27_ET2024,1,,0,0
6,28179431,"Saint-Martin-d'Hères, Henri Wallon",12345-MSELVE30_ST0_30_ET2024,1,SEM_C6_1,0,0
6,28567242,"Saint-Martin-d'Hères, Henri Wallon",1234567-MSESAH28_ST5_28_ET2024,1,SEM_C6_1,0,0
14,28492696,"Grenoble, Verdun - Préfecture",1234567-MAHD28_ST6_28_ET2024,0,SEM_14_1,0,0
B,29042457,"Grenoble, Oxford",1234567-MGES27_ST5_27_ET2024-MGES27_ST5_28_ET2024,1,,0,0
15,28980674,"Grenoble, Verdun - Préfecture",12345-MAHLV29_ST0_29_ET2024,1,SEM_15_11,0,0
